433,A898 PA,Eros,marssetetal2022/433_20190523.csv,2019-05-23T05:33:24,2019-05-23T05:41:42,15,674.17,10 24 48.7,-11 18 31,1.197,0.761,1.37,12.3,46.7,sL102-1081 sL105-56 sL105-56
433,A898 PA,Eros,marssetetal2022/433_20161028.csv,2016-10-28T05:13:00,2016-10-28T05:30:00,15,674.17,21 10 29.1,-02 08 54,1.078,1.026,1.592,13.3,37.3,sL1121333 sL115271 sL93101
433,A898 PA,Eros,marssetetal2022/433_20180815.csv,2018-08-15T14:54:53,2018-08-15T15:37:37,15,896.58,02 28 17.0,29 20 59,1.018,1.047,1.555,13.3,40.2,sHya64 sL110-361 sL115-271 sLSA93-101
433,A898 PA,Eros,marssetetal2022/433_20181107.csv,2018-11-07T13:51:30,2018-11-07T13:59:50,15,674.17,04 40 50.6,58 34 00,1.387,0.393,1.291,10.7,34.1,sHya64
1036,A924 UB,Ganymed,marssetetal2022/1036_20190522.csv,2019-05-22T07:12:25,2019-05-22T07:39:59,16,1912.71,13 05 37.5,-10 02 43,1.158,2.298,3.127,14.3,12.5,sL102-1081 sL105-56
1036,A924 UB,Ganymed,marssetetal2022/1036_20150720.csv,2015-07-20T05:24:53,2015-07-20T05:42:47,18,1618.02,14 37 10.5,03 10 13,1.046,1.685,2.091,13.2,28.7,sL105-56 sL110-361 sL113-276 sL115-271
1036,A924 UB,Ganymed,marssetetal2022/1036_20190408.csv,2019-04-08T10:15:48,2019-04-08T10:34:03,16,1912.71,13 41 04.3,-17 34 28,1.285,2.332,3.314,14.1,4,-
1620,1951 RA,Geographos,marssetetal2022/1620_20151105.csv,2015-11-05T10:32:55,2015-11-05T11:14:19,18,2151.8,02 49 54.5,49 28 20,1.153,0.658,1.58,16.7,20.5,sHYA64 sL115-271
1627,1929 SH,Ivar,marssetetal2022/1627_20180623.csv,2018-06-23T05:30:53,2018-06-23T05:49:08,16,1912.71,14 36 39.9,11 20 43,1.077,0.34,1.214,12.4,47.6,sL105-56 sL107-684 sL110-361 sL113-276 sL115-271
1627,1929 SH,Ivar,marssetetal2022/1627_20180903.csv,2018-09-03T05:20:50,2018-09-03T05:31:05,16,474.47,18 06 28.2,-30 32 20,1.572,0.31,1.156,12.3,54.7,sL107-998 sL113-276
1685,1948 OA,Toro,marssetetal2022/1685_20160415.csv,2016-04-15T05:25:49,2016-04-15T06:23:22,16,1912.71,08 35 36.3,03 02 30,1.045,0.929,1.529,16.6,39.5,sL1021081 sL10556 sL98978
1685,1948 OA,Toro,marssetetal2022/1685_20160211.csv,2016-02-11T05:36:07,2016-02-11T05:54:02,18,1618.02,05 25 44.9,-03 54 02,1.118,0.245,1.113,13.4,53.3,sHYA64 sL102-1081 sL105-56 sL98-978
1685,1948 OA,Toro,marssetetal2022/1685_20200603.csv,2020-06-03T14:55:21,2020-06-03T15:09:00,18,2151.8,21 56 26.8,-09 30 25,1.159,0.725,1.393,16,44.6,sL113-276 sL113-276 sL113-276
2059,1963 UA,Baboquivari,marssetetal2022/2059_20190926.csv,2019-09-26T07:23:32,2019-09-26T07:51:26,18,2151.8,21 01 56.3,00 43 16,1.061,0.483,1.378,16.4,32.1,shya64 sL98-978
2059,1963 UA,Baboquivari,marssetetal2022/2059_20190903.csv,2019-09-03T07:31:41,2019-09-03T08:01:30,16,1912.71,21 03 46.2,07 22 31,1.066,0.537,1.499,16.4,19.6,sL110-361 sL112-1333
2061,1960 UA,Anza,marssetetal2022/2061_20180621.csv,2018-06-21T13:05:54,2018-06-21T13:45:35,16,1912.71,21 21 33.2,-05 28 08,1.122,0.57,1.44,17.5,33.7,sL112-1333 sL113-276 sL115-271
2061,1960 UA,Anza,marssetetal2022/2061_20180815.csv,2018-08-15T12:43:26,2018-08-15T14:19:02,16,1912.71,01 11 59.1,26 15 05,1.054,0.207,1.115,15.4,55.7,sHya64 sL110-361 sL115-271 sLSA93-101
2062,1976 AA,Aten,marssetetal2022/2062_20150206.csv,2015-02-06T15:52:01,2015-02-06T16:10:14,18,2151.8,16 28 19.2,45 05 32,1.21,0.207,1.006,16.1,78.7,-
2100,1978 RA,Ra-Shalom,marssetetal2022/2100_20190926.csv,2019-09-26T09:17:42,2019-09-26T09:28:21,18,1075.9,23 25 01.3,-21 45 38,1.335,0.183,1.171,14,21.5,shya64 sL98-978
2100,1978 RA,Ra-Shalom,marssetetal2022/2100_20161003.csv,2016-10-03T12:46:20,2016-10-03T13:04:35,16,1912.71,03 06 44.8,-32 13 14,1.621,0.156,1.106,14,44.3,s115271 sHYA64 sL93101
2329,1976 WA,Orthos,marssetetal2022/2329_20170426.csv,2017-04-26T08:00:56,2017-04-26T08:38:13,18,2151.8,12 54 52.2,23 05 51,1.031,0.948,1.828,16.7,21.4,sL102-1081
2368,1977 RA,Beltrovata,marssetetal2022/2368_20171120.csv,2017-11-20T13:55:51,2017-11-20T14:52:23,18,2151.8,06 57 34.4,26 18 44,1.016,1.259,2.08,18.3,19.6,sHYA64 sL102-1081 sL113-276
3200,1983 TB,Phaethon,marssetetal2022/3200_20171111.csv,2017-11-11T12:38:11,2017-11-11T13:15:18,18,2151.8,07 05 48.4,35 15 57,1.1,0.694,1.496,16.1,33.1,sHYA64 sL113-276 sL93-101 sL98-978
3200,1983 TB,Phaethon,marssetetal2022/3200_20171120.csv,2017-11-20T13:05:32,2017-11-20T13:28:24,18,2151.8,07 04 34.0,36 24 00,1.047,0.511,1.389,15.2,31.2,sHYA64 sL102-1081 sL113-276
3200,1983 TB,Phaethon,marssetetal2022/3200_20171016.csv,2017-10-16T15:00:47,2017-10-16T15:45:07,18,2151.8,06 47 51.4,33 49 40,1.037,1.24,1.756,17.7,33.6,sHYA64 sL112-1333 sL115-271 sL93-101 sL98978
4055,1985 DO2,Magellan,marssetetal2022/4055_20201014.csv,2020-10-14T13:17:14,2020-10-14T13:45:08,18,2151.8,03 49 24.4,-24 34 53,1.421,0.625,1.483,15.9,30.6,sHyades64 sHyades64 sL113-276 sL93-101
4055,1985 DO2,Magellan,marssetetal2022/4055_20150418.csv,2015-04-18T13:48:26,2015-04-18T14:25:12,18,2151.8,18 34 48.1,14 52 02,1.067,0.951,1.537,17.1,39.4,sL105-46 sL107-998 sL110-361
4179,1989 AC,Toutatis,marssetetal2022/4179_20170306.csv,2017-03-06T06:17:44,2017-03-06T06:53:13,16,1912.71,06 44 37.2,23 12 05,1.002,0.871,1.569,17.5,35.1,s98978 sHYA64
4341,1987 KF,Poseidon,marssetetal2022/4341_20161029.csv,2016-10-29T05:23:24,2016-10-29T06:20:50,16,1912.71,22 34 56.8,-37 32 33,1.943,0.6,1.306,17.1,46.5,sL1121333 sL115271
4581,1989 FC,Asclepius,marssetetal2022/4581_20190331.csv,2019-03-31T12:53:19,2019-03-31T14:09:16,16,1912.71,16 10 03.3,-10 28 07,1.211,0.142,1.09,18.4,47.2,sLand102-1081 sLand105-56 sLand110-361
4769,1989 PB,Castalia,marssetetal2022/4769_20120828.csv,2012-08-28T05:38:50,2012-08-28T06:17:40,18,2160,+17 30 35.2,-17 58 00,1.268,0.114,1.051,14.6,66.1,-
4953,1990 MU,,marssetetal2022/4953_20200908.csv,2020-09-08T14:28:01,2020-09-08T15:23:38,18,2151.8,03 24 15.8,-17 47 31,1.261,1.256,1.93,18.2,27.8,sL112-1333 sL93-101 sLHya64
5189,1990 UQ,,marssetetal2022/5189_20171016.csv,2017-10-16T09:33:26,2017-10-16T10:00:57,18,2151.8,00 32 16.0,-20 27 49,1.313,0.173,1.147,15.5,27.5,sHYA64 sL112-1333 sL115-271 sL93-101 sL98978
5189,1990 UQ,,marssetetal2022/5189_20190321.csv,2019-03-21T10:36:19,2019-03-21T11:22:25,16,1912.71,11 50 25.9,08 39 46,1.022,0.534,1.525,17.8,5.9,sLand102-1081 sLand107-684 sLand110-361
5587,1990 SB,,marssetetal2022/5587_20161128.csv,2016-11-28T07:17:29,2016-11-28T07:54:25,16,1912.71,01 42 00.3,-03 53 16,1.094,1.616,2.411,17.7,17,s1021081 s113276 s93101
5645,1990 SP,,marssetetal2022/5645_20200821.csv,2020-08-21T14:48:48,2020-08-21T15:25:40,18,2151.8,02 27 17.6,-19 17 33,1.286,0.512,1.321,17.9,43.3,sHyades64 sL113-276 sL93-101 sL93-101
5645,1990 SP,,marssetetal2022/5645_20200928.csv,2020-09-28T13:51:38,2020-09-28T14:19:17,18,2151.8,04 57 44.2,-18 45 38,1.325,0.212,1.089,15.9,60.5,sHyades64 sL98-978 sLand113-276
5653,1992 WD5,Camarillo,marssetetal2022/5653_20161224.csv,2016-12-24T07:26:19,2016-12-24T08:03:12,16,1912.71,03 32 42.7,40 41 27,1.072,0.437,1.357,16.3,26.1,s1021081 s98978 sHYA64
5836,1993 MF,,marssetetal2022/5836_20160815.csv,2016-08-15T15:28:19,2016-08-15T15:41:56,16,1912.71,02 29 19.4,33 24 27,1.031,0.513,1.188,15.8,57.8,sL113276 sL93101 sL93101
5863,1983 RB,Tara,marssetetal2022/5863_20160415.csv,2016-04-15T06:29:39,2016-04-15T07:25:43,16,1912.71,11 41 32.3,18 10 14,1.135,0.818,1.715,17.5,21.8,sL1021081 sL10556 sL98978
5879,1992 CH1,Almeria,marssetetal2022/5879_20210208.csv,2021-02-08T13:25:18,2021-02-08T13:54:34,18,1618.02,11 49 49.5,01 13 24,1.064,0.204,1.155,15.8,31.3,sL102-1081 sL105-56 sL107-684 sL98-978
6053,1993 BW3,,marssetetal2022/6053_20170728.csv,2017-07-28T13:43:17,2017-07-28T14:01:32,16,1912.71,23 22 19.3,-04 09 19,1.1,0.432,1.359,15,31.5,sL113276 sL115271 sL93101
6569,1993 MO,Ondaatje,marssetetal2022/6569_20180623.csv,2018-06-23T14:19:24,2018-06-23T15:03:09,16,1912.71,23 27 37.7,-09 58 16,1.238,0.582,1.281,17.6,50.6,sL105-56 sL107-684 sL110-361 sL113-276 sL115-271
7088,1992 AA,Ishtar,marssetetal2022/7088_20160929.csv,2016-09-29T09:28:22,2016-09-29T10:09:53,16,1912.71,00 53 16.6,-15 52 56,1.303,0.716,1.692,17.9,11.6,sL110361 sL115271 sL93101
7341,1991 VK,,marssetetal2022/7341_20161128.csv,2016-11-28T05:51:16,2016-11-28T06:28:38,16,1912.71,22 40 12.6,12 05 36,1.066,0.276,1.068,16.4,65.6,s1021081 s113276 s93101
7341,1991 VK,,marssetetal2022/7341_20161028.csv,2016-10-28T06:40:30,2016-10-28T07:36:04,16,1912.71,23 19 40.2,17 19 37,1.011,0.357,1.283,16.3,30.8,sL1121333 sL115271 sL93101
7822,1991 CS,,marssetetal2022/7822_20160315.csv,2016-03-15T06:22:46,2016-03-15T06:57:35,16,1912.71,08 57 45.6,42 42 05,1.142,0.297,1.192,16.8,42.8,s98978 sHYA64 sL1020181
7822,1991 CS,,marssetetal2022/7822_20150912.csv,2015-09-12T06:06:21,2015-09-12T06:32:57,12,717.27,17 12 53.2,-33 06 54,1.965,0.177,1.025,16.5,79,-
8014,1990 MF,,marssetetal2022/8014_20200527.csv,2020-05-27T09:35:19,2020-05-27T10:30:48,18,2151.8,15 53 13.8,-15 05 00,1.225,0.269,1.28,16.9,6.7,sL102-1081 sL105-56 sL107-684
8037,1993 HO1,,marssetetal2022/8037_20171111.csv,2017-11-11T09:54:36,2017-11-11T10:29:07,18,2151.8,01 57 46.2,17 52 08,1.029,0.606,1.581,17,10.1,sHYA64 sL113-276 sL93-101 sL98-978
8037,1993 HO1,,marssetetal2022/8037_20171016.csv,2017-10-16T10:34:17,2017-10-16T11:30:46,18,2151.8,02 35 54.5,17 25 52,1.018,0.754,1.727,17.7,11,sHYA64 sL112-1333 sL115-271 sL93-101 sL98978
8566,1996 EN,,marssetetal2022/8566_20200228.csv,2020-02-28T09:28:00,2020-02-28T10:19:49,18,2151.8,09 52 11.8,-02 45 23,1.087,0.805,1.777,17.7,9.2,sL102-1081 sL98-978 sLHya64
9400,1994 TW1,,marssetetal2022/9400_20160211.csv,2016-02-11T13:30:52,2016-02-11T14:07:42,18,2151.8,13 00 19.4,56 14 03,1.246,0.727,1.511,16.5,33.2,sHYA64 sL102-1081 sL105-56 sL98-978
10115,1992 SK,,marssetetal2022/10115_20200127.csv,2020-01-27T15:19:46,2020-01-27T16:06:04,18,2151.8,14 41 02.3,05 18 44,1.095,0.52,1.12,18.1,61.5,sL102-1081 sL102-1081 sL98-978
10636,1998 QK56,,marssetetal2022/10636_20160929.csv,2016-09-29T07:20:05,2016-09-29T08:01:37,17,2032.26,23 13 06.8,-09 23 56,1.276,0.546,1.524,18.1,13.7,sL110361 sL115271 sL93101
11398,1998 YP11,,marssetetal2022/11398_20170523.csv,2017-05-23T06:53:32,2017-05-23T07:11:47,17,2032.26,14 08 02.2,65 19 47,1.49,0.299,1.063,16.3,72.2,sL1021081
11405,1999 CV3,,marssetetal2022/11405_20200127.csv,2020-01-27T07:25:13,2020-01-27T08:15:59,18,2151.8,05 40 24.2,-02 52 15,1.086,0.84,1.667,17.1,26.1,sL102-1081 sL102-1081 sL98-978
11500,1989 UR,Tomaiyowit,marssetetal2022/11500_20071112.csv,2007-11-12T13:54:07,2007-11-12T14:31:28,17,2040,06 50 15.5,22 35 29,1.002,0.12,1.068,15.6,46.8,sL113 sL93
13353,1992 JE,Masaakikoyama,marssetetal2022/13553_20180813.csv,2018-08-13T12:40:51,2018-08-13T13:08:34,17,2032.26,22 02 09.7,16 33 01,1.004,0.21,1.196,14.6,26.8,sL113-276
13353,1992 JE,Masaakikoyama,marssetetal2022/13553_20180815.csv,2018-08-15T11:06:34,2018-08-15T11:37:56,17,2032.26,22 06 26.2,15 55 10,1.006,0.212,1.2,14.6,25.6,sHya64 sL110-361 sL115-271 sLSA93-101
15745,1991 PM5,Yuliya,marssetetal2022/15745_20180520.csv,2018-05-20T11:30:03,2018-05-20T12:17:09,17,2032.26,17 01 50.6,26 02 41,1.006,0.418,1.322,17.5,35.5,sL102-1081 sL105-56 sL107-684 sL110-361
15817,1994 QC,Lucianotesi,marssetetal2022/15817_20200921.csv,2020-09-21T13:24:30,2020-09-21T14:30:53,18,2151.8,02 26 12.0,-06 29 34,1.131,0.428,1.367,18.4,27,sHya64 sL113-276 sL113-276 sL93-101
17182,1999 VU,,marssetetal2022/17182_20171120.csv,2017-11-20T08:00:07,2017-11-20T08:46:21,18,2151.8,02 03 39.8,45 50 04,1.12,0.42,1.359,16.9,23.4,sHYA64 sL102-1081 sL113-276
17274,2000 LC16,,marssetetal2022/17274_20180903.csv,2018-09-03T08:30:54,2018-09-03T08:58:41,17,2032.26,20 45 20.5,-03 39 33,1.091,0.246,1.227,15.2,24.9,sL107-998 sL113-276
17274,2000 LC16,,marssetetal2022/17274_20180815.csv,2018-08-15T08:15:57,2018-08-15T08:46:41,17,2032.26,20 02 18.2,-13 55 15,1.216,0.23,1.227,14.9,19,sHya64 sL110-361 sL115-271 sLSA93-101
17511,1992 QN,,marssetetal2022/17511_20180903.csv,2018-09-03T11:43:53,2018-09-03T12:11:44,17,2032.26,23 20 26.1,-12 11 13,1.209,0.455,1.46,16.9,6.3,sL107-998 sL113-276
17511,1992 QN,,marssetetal2022/17511_20171120.csv,2017-11-20T10:50:50,2017-11-20T11:56:08,18,2151.8,03 35 29.3,47 16 34,1.147,0.465,1.417,17.4,18.8,sHYA64 sL102-1081 sL113-276
21374,1997 WS22,,marssetetal2022/21374_20171120.csv,2017-11-20T08:52:55,2017-11-20T09:42:52,18,2151.8,02 55 01.8,08 23 35,1.027,0.431,1.407,17,11.3,sHYA64 sL102-1081 sL113-276
31345,1998 PG,,marssetetal2022/31345_20180903.csv,2018-09-03T07:47:42,2018-09-03T08:25:18,17,2032.26,20 42 55.7,04 46 10,1.043,0.375,1.338,17,24.6,sL107-998 sL113-276
33342,1998 WT24,,marssetetal2022/33342_20151212.csv,2015-12-12T09:02:48,2015-12-12T09:13:05,18,1075.9,03 22 24.9,04 25 39,1.053,0.028,1.008,11.5,32.1,sHYA64 sL102-1081 sL115-271 sL98-978
33342,1998 WT24,,marssetetal2022/33342_20151203.csv,2015-12-03T13:34:53,2015-12-03T14:19:11,18,2151.8,07 29 04.0,-04 42 40,1.11,0.049,1.018,13.2,47.9,sL102-1081 sL115-271 sL98-978
34613,2000 UR13,,marssetetal2022/34613_20200128.csv,2020-01-28T11:46:21,2020-01-28T12:23:10,18,2151.8,08 31 31.7,20 45 37,1.057,1.123,2.107,18.1,1.5,sL102-1081 sL102-1081 sL105-56
35396,1997 XF11,,marssetetal2022/35396_20160414.csv,2016-04-14T08:25:48,2016-04-14T08:53:43,17,2032.26,13 16 51.7,-11 01 01,1.302,0.358,1.36,15.6,2.8,s1021081 s10556 s98978
40329,1999 ML,,marssetetal2022/40329_20160929.csv,2016-09-29T05:58:01,2016-09-29T06:53:31,17,2032.26,21 22 08.1,-10 00 35,1.217,0.382,1.294,17.5,34.3,sL110361 sL115271 sL93101
52768,1998 OR2,,marssetetal2022/52768_20200228.csv,2020-02-28T08:44:30,2020-02-28T09:02:58,18,2151.8,07 57 24.4,43 23 01,1.113,0.268,1.18,14.9,40.2,sL102-1081 sL98-978 sLHya64
53319,1999 JM8,,marssetetal2022/53319_20171016.csv,2017-10-16T12:29:02,2017-10-16T13:25:14,18,2151.8,04 25 18.8,-04 19 17,1.111,1.027,1.857,17.7,23,sHYA64 sL112-1333 sL115-271 sL93-101 sL98978
53426,1999 SL5,,marssetetal2022/53426_20150911.csv,2015-09-11T06:17:25,2015-09-11T06:54:47,17,2032.26,18 57 53.8,68 40 59,1.521,0.411,1.117,17.8,64,-
53435,1999 VM40,,marssetetal2022/53435_20200926.csv,2020-09-26T14:46:40,2020-09-26T15:09:37,18,2151.8,05 23 01.0,07 19 38,1.036,0.508,1.22,15.5,53.3,sHyades64 sLand113-276
53435,1999 VM40,,marssetetal2022/53435_20200908.csv,2020-09-08T15:28:06,2020-09-08T15:37:06,18,2151.8,04 21 51.0,-00 19 33,1.065,0.597,1.271,15.9,50.9,sL112-1333 sL93-101 sLHya64
53435,1999 VM40,,marssetetal2022/53435_20200928.csv,2020-09-28T14:24:22,2020-09-28T14:56:42,18,2151.8,05 29 54.9,08 19 46,1.051,0.5,1.216,15.5,53.5,sHyades64 sL98-978 sLand113-276
65690,1991 DG,,marssetetal2022/65690_20200227.csv,2020-02-27T10:23:54,2020-02-27T11:00:47,18,2151.8,10 01 48.0,-12 15 16,1.189,0.233,1.209,17.2,18.5,sL102-1081 sL105-56 sL107-684
65717,1993 BX3,,marssetetal2022/65717_20201119.csv,2020-11-19T07:42:37,2020-11-19T08:24:43,18,2151.8,02 29 27.8,-08 45 15,1.204,0.121,1.091,17.6,29.6,sL115-271 sL93101 sL93101
66272,1999 JW6,,marssetetal2022/66272_20201107.csv,2020-11-07T11:46:36,2020-11-07T12:23:47,18,2151.8,05 52 30.4,02 11 35,1.116,0.565,1.437,18,30.2,sL113-276 sL93-101 sL98-978 sL98-978
66391,1999 KW4,,marssetetal2022/66391_20180623.csv,2018-06-23T05:53:48,2018-06-23T06:30:43,17,2032.26,13 31 11.2,34 46 25,1.035,0.31,1.076,16.7,70.6,sL105-56 sL107-684 sL110-361 sL113-276 sL115-271
67367,2000 LY27,,marssetetal2022/67367_20180623.csv,2018-06-23T07:53:37,2018-06-23T08:23:28,17,2032.26,16 18 23.6,-22 19 27,1.376,0.603,1.584,17.8,15.7,sL107-684 sL110-361 sL113-276 sL115-271
68278,2001 FC7,,marssetetal2022/68278_20031016.csv,2003-10-16T08:29:13,2003-10-16T09:06:32,23,2760,23 46 58.6,-12 09 02,1.179,0.347,1.305,17.8,23.7,-
68346,2001 KZ66,,marssetetal2022/68346_20160709.csv,2016-07-09T05:44:28,2016-07-09T06:22:14,17,2032.26,16 26 02.0,41 53 49,1.186,0.329,1.147,16.8,59,sL107998 sL107998
68347,2001 KB67,,marssetetal2022/68347_20180623.csv,2018-06-23T08:28:16,2018-06-23T09:23:52,17,2032.26,16 10 30.5,19 45 55,1,0.198,1.15,18.4,43.9,sL105-56 sL107-684 sL110-361 sL113-276 sL115-271
69230,1937 UB,Hermes,marssetetal2022/69230_20200921.csv,2020-09-21T10:14:46,2020-09-21T10:54:04,18,2151.8,00 54 00.4,-03 41 31,1.128,0.562,1.553,17.8,9.7,sHya64 sL113-276 sL113-276 sL93-101
85628,1998 KV2,,marssetetal2022/85628_20160410.csv,2016-04-10T13:31:58,2016-04-10T14:18:55,17,2032.26,15 52 19.7,00 59 34,1.068,0.534,1.454,17.7,26.2,sL107998 sL110361
85804,1998 WQ5,,marssetetal2022/85804_20150118.csv,2015-01-18T08:53:59,2015-01-18T09:12:12,18,2151.8,07 09 02.6,07 31 31,1.045,0.447,1.416,15,12.2,s98-978 sHYA64 sL93-101
85990,1999 JV6,,marssetetal2022/85990_20160211.csv,2016-02-11T08:02:02,2016-02-11T08:48:29,18,2151.8,06 47 16.9,27 53 53,1.012,0.226,1.165,18.7,34.2,sHYA64 sL102-1081 sL105-56 sL98-978
89830,2002 CE,,marssetetal2022/89830_20200128.csv,2020-01-28T15:29:29,2020-01-28T16:06:17,18,2151.8,14 34 35.2,64 12 05,1.421,1.229,1.787,18.1,31.8,sL102-1081 sL102-1081 sL105-56
90147,2002 YK14,,marssetetal2022/90147_20210114.csv,2021-01-14T06:05:29,2021-01-14T06:51:42,18,2151.8,05 46 08.9,11 33 24,1.243,0.293,1.247,17.3,23,sL102-1081 sL105-56 sL93-101 sL98-978
90416,2003 YK118,,marssetetal2022/90416_20150218.csv,2015-02-18T05:15:35,2015-02-18T05:58:41,18,2151.8,04 26 02.0,26 25 56,1.009,0.095,1.009,16.1,74.6,sHYA64 sL102-1081 sL106-684 sL98-978
96631,1999 FP59,,marssetetal2022/96631_20170813.csv,2017-08-13T13:00:28,2017-08-13T14:06:11,17,2032.26,00 21 35.0,-03 33 49,1.091,0.314,1.26,17.4,33.3,sL115271 sL93101
96631,1999 FP59,,marssetetal2022/96631_20170726.csv,2017-07-26T13:56:28,2017-07-26T14:51:51,18,2151.8,23 55 19.8,-06 40 52,1.116,0.353,1.261,17.8,40,sL113-276 sL115-271
